id;organisation_id;code;designation;reference;validity;remarque
120;3;CCELL0001;CELLULE DETECTEUR INDUCTIF POLYCLIP PDCA 600  SARMABO;182264/IFM IGT208;1;
121;3;CDIST0001;DISTRIBUTEUR POLYCLIP PDCA 600;207216 SARMABO;1;
122;3;CDIST0005;DISTRIBUTEUR POLYCLIP PDCA 600;197781 SARMABO;1;
123;3;CMATR0002;PAIRE DE MATRICE POLYCLIP PDCA 600;105286 SARMABO;1;
124;3;CPOIN0002;POINCON DROIT PDCA 600;203587 SARMABO;1;
125;3;CPOIN0003;POINCON GAUCHE PDCA 600;203588 SARMABO;1;
126;3;CNOUE0002;BEC NOUEUR SCHAD;NOUEUR SCHAD REP 34+35;1;
127;3;CCELL0006;CELLULE FIN CYCLE SCHAD;110890;1;
128;3;CVOYA0013;ELEMENT VOYANT M22-LEDC-W BLANC;EATON EON 000216560//RS;1;
129;3;CTETE0054;TETE BP AFFLEURANT VERT M22-D-G;EATON 000216596;1;
130;3;CTETE0055;TETE VOYANT LUMINEUX BLANC EATON M22-L-W;EATON 000216771;1;
131;3;CCOUT0007;COUTEAU SCHAD;110452;1;
132;3;CROUL0001;ROULEMENT 10/30/14 62200 2RS SCHAD;62200 2RS1;1;
133;3;CCONT0025;CONTACT NF CHAMPIGNON SCHAD/CONVOYEUR A PALETTE;EATON M22-KC01;1;
134;3;CPLAQ0009;PLAQUE INCURVE SCHAD REP 37;110370;1;
135;3;CVIS.0010;VIS SERRAGE NOEUD SCHAD;110400;1;
136;3;CPIGN0048;PIGNON ROTATION BEC SCHAD;110420;1;
137;3;CPIGN0022;PIGNON ROTATION COUTEAU SCHAD;410;1;
138;3;CPALI0005;PALIER AXE FICELLEUSE SCHAD;YSY20FM;1;
139;3;CECRO0008;ECROU LAITON SERRAGE NOEUD;REP.34 SCHAD;1;
140;3;CENFI0001;ENFILEUR SCHAD TIRE FILE;110039;1;
141;3;CRESS0097;RESSORT PINCE SCHAD;110180;1;
142;3;CRESS0060;RESSORT SERRAGE NOEUD SCHAD ;RESSORT REP38 REF110380;1;
143;3;CRESS0061;RESSORT FREIN FICELLE SCHAD;110600 REP60;1;
144;3;CAIGU0001;AIGUILLE SCHAD;110035;1;
145;3;CPINC0002;PINCE  ATTRAPE FIL SCHAD;PINCE COMPLETE REP 6 110060;1;
146;3;CGALE0002;GALET TEFLON SCHAD;110525;1;
147;3;CCAME0003;CAME OUVERTURE PINCE SCHAD;CAME REP13 REF110130;1;
148;3;CROUL;ROULEMENT 6300 2RS;SCHAD;1;
149;3;CCONT0026;CONTACT NO SCHAD + DOSEUSE/CONVOYEUR A PALETTE;EATON M22-KC01;1;
150;3;CRELA0023;RELAIS DOLD SCHAD ;111060 REF SARBORO;1;
151;3;CBOUT0004;BOUTON CHAMPIGNON SCHAD;FAK-S/KC11/I LEISSNER;1;
152;3;CKIT.0045;KIT JOINT VERIN CUVE 106;16157M 108704;1;
153;3;CBOUT0002;BOUTON POUSS.PNEU.VC10 NOIR;BACOC21AD03;1;
154;3;CBOUT0006;BOUTON POUSS. PNEU.VC10 ROUGE;BACOC21AD01;1;
155;3;CBOBI0048;BOBINE ASCO POUR VC10;43004166 / RS278-4463;1;
156;3;CCELL0127;CELLULE INDUC COUVERCLE VC10;XS108B3PAL21;1;
157;3;CVOYA0002;VOYANT PNEUMATIQUE ROUGE VC10;Y5055381;1;
158;3;CVOYA0001;VOYANT PNEUMATIQUE VERT VC10;Y5055380;1;
159;3;CTEMP0001;TEMPO PNEUMATIQUE REG.CUVE 106;12745D;1;
160;3;CPLAQ0038;PLAQUE DE GUIDAGE CUVE 106;300078K OU 41846-0;1;
